Hourly measurement data supplied by UK-air on 17/11/2024
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"Birmingham Airport 2",
Latitude,,52.455719,,
Longitude,,-1.743912,,
Site Type,,Suburban Industrial,,
Zone,,West Midlands,,
Agglomeration,,West Midlands Urban Area,,
Local Authority,,"Solihull",,
Date,Time,"Ozone",Status
2023-01-01,01:00:00,74.16131,V ugm-3
2023-01-01,02:00:00,73.42248,V ugm-3
2023-01-01,03:00:00,71.77808,V ugm-3
2023-01-01,04:00:00,72.76951,V ugm-3
2023-01-01,05:00:00,71.82038,V ugm-3
2023-01-01,06:00:00,69.40767,V ugm-3
2023-01-01,07:00:00,73.23363,V ugm-3
2023-01-01,08:00:00,71.87048,V ugm-3
2023-01-01,09:00:00,74.10168,V ugm-3
2023-01-01,10:00:00,72.29429,V ugm-3
2023-01-01,11:00:00,72.58818,V ugm-3
2023-01-01,12:00:00,70.36311,V ugm-3
2023-01-01,13:00:00,68.87283,V ugm-3
2023-01-01,14:00:00,63.55891,V ugm-3
2023-01-01,15:00:00,63.25986,V ugm-3
2023-01-01,16:00:00,60.42524,V ugm-3
2023-01-01,17:00:00,66.66378,V ugm-3
2023-01-01,18:00:00,65.77018,V ugm-3
2023-01-01,19:00:00,65.91952,V ugm-3
2023-01-01,20:00:00,64.69266,V ugm-3
2023-01-01,21:00:00,60.29137,V ugm-3
2023-01-01,22:00:00,57.98202,V ugm-3
2023-01-01,23:00:00,50.68482,V ugm-3
2023-01-01,24:00:00,60.1152,V ugm-3
2023-01-02,01:00:00,60.02952,V ugm-3
2023-01-02,02:00:00,59.73907,V ugm-3
2023-01-02,03:00:00,57.08481,V ugm-3
2023-01-02,04:00:00,49.65884,V ugm-3
2023-01-02,05:00:00,36.14729,V ugm-3
2023-01-02,06:00:00,35.76322,V ugm-3
2023-01-02,07:00:00,37.91209,V ugm-3
2023-01-02,08:00:00,27.70718,V ugm-3
2023-01-02,09:00:00,32.66652,V ugm-3
2023-01-02,10:00:00,34.95233,V ugm-3
2023-01-02,11:00:00,41.65809,V ugm-3
2023-01-02,12:00:00,47.82182,V ugm-3
2023-01-02,13:00:00,50.59863,V ugm-3
2023-01-02,14:00:00,48.99969,V ugm-3
